full_text,label
Dear God please remove all the sufferings of west papuans and give them to customs executives and employees,Negative
Kinda glad I still live in places right now so I don t have to send my overseas stuff to Indonesia and pay that customs hundreds rupiah when I could just send them here with no tax if it's under dollars,Negative
The thing i don't understand about customs is they'll go rough implementing this regulation to us who have no influence nor money to pay them but they are being this cute little baby to those crazy rich or their own superiors,Negative
"Maybe I'll buy it during black friday sale I can afford the perfume cost itself but the tax customs going to charge me, no way",Neutral
That's alright especially with the customs rule that was recently enforced lmk when it opens hehe i'll snatch one of them right away,Negative
"Hope customs grants u mercy, also may i ask how much IDR it was ? didn't include the tax right ",Neutral
You all just realizing that customs is practically an organized crime unit bankrolled by the state lol,Negative
"Bro, I legit have this one friend acquaintance who boasts about his career customs and comparing it to his other friend who is not as lucky as him",Neutral
"One of these people buy menstrual pads only a few pieces, when period day I can change so many times. You bro never use brain when planning is it. please you all want to take people's money and freedom by doing this shit hope customs people root in hell",Negative
"Exactly what i thought when i read collective punishment by customs, i instantly thought this is the result of mos and ospek",Neutral
"Hahaha circa i saw two big red buckets full of original DVDs in my friend's house in customs housing area, her big brother was customs executive somewhere which i can't mention here",Neutral
Please make more noise about this customs situation so loud that by the time i need to go abroad all this madness will be resolved. My reason is purely selfish but customs get  this shit together ,Negative
"I can see my family especially my mom, auntie ,and uncle do this we hate orang customs the most and immigration people too",Negative
"God please take all the palestinians pain and suffering, double it and give it to Indonesia's customs ",Negative
"Yes honey we can't do much about it, but its good that i still have my receipts from years ago and i've contacted my sales to standby on their phone just in case customs needs more proofs of my buying history",Neutral
"Not gonna let my day ruined by customs, this is so damn cool and i've been playing dragon balls kakarot and dragon quest that is very slow progress tho",Neutral
I never have a bad experience with customs tho so i don't know the issue in real life i guest i'm doing it correctly so far,Positive
"So what do i do then most of my clothes were bought overseas because i don't live in Indonesia, will customs tax me for everything? be for real ",Neutral
What's stopping me from buying things overseas is not the shipping fee but the fucking tax customs would rob me,Negative
You know it's a terrible decision when i start to talk about it publicly normally i don't like to speakup about Indonesian laws but customs goddamn there's something wrong with them,Negative
The last time man was issued on elle korea was during superm with that red hair as i remember nah that magazine is way too heavy for customs tax,Neutral
"After administer this letter, I just realized that not all fellow immigrant friends are actually aware of the existence of this magic letter and looking at the timeline of many quote retweets who are worried about the new customs rules, kinda confirms this so I thought to share the experience",Neutral
Around the age of i managed to get one of these breville bad bois shipped in from oz in lieu of the more accessible is in ps child friendly kitchen aid ones rationale being the cheaper pricetag suffice to say customs had a field day lmfao,Neutral
"If you have any questions feel free to ask me, i used to buy things directly from websites all the time before finding out that proxy exists though i much rather use a proxy than pay the original price for direct and  sabotaged  by customs",Negative
I don't know why i'm more inclined to donate instead of buying merchs even though the amount of money i'm willing to spend is pretty much the same maybe i don't want spend my money on tax and customs things,Positive
"Haha good luck with customs, bro. But yeah just expect to pay an equal amount to to the total goods value",Negative
"My parents own product that was shipped back after a convention even got held by customs, we have to pay over million rupiah for our own item that's made over here what the fuck",Negative
"customs it's your responsibility to provide for your wife, especially if you have children and don't count on your wife's money for household needs, she has no obligation to spend it.",Positive
"Don't be mistaken Sir, this is probably the most honest, wisecracking person who was deliberately sacrificed to be honest like this",Negative
Are you interested or not interested in going deeper into the audit of all these despicable corrupt customs employees? I'm sure there are lots of rats in uniform who will be charged with corruption in this area.,Neutral
"After it went viral, mediation was carried out between the customs and the DHL's recipient. If not, I don't know what will happen in the end. At the first, customs didn't fucking care at all",Neutral
"Well, if you really want to have a deterrent effect, you don't have to ask for anything, that's the right thing, but you can't just ask DHL because he's the one playing with prices or asking to appeal to customs.",Negative
"Yes, I understand. The only thing I'm annoyed about is that the customs is too textbook and they turn a blind eye. In the previous case, why ask for proof of invoice transfer from the shop etc. if the end result is the recipient is given a fine?",Negative
"I'm crying so much, this is the signal that Indosat has lost the service number, what's the problem, what's wrong with it, then register the IMEI at customs, there's no way the IMEI is problematic again, right?",Negative
"But customs there, the staff don't have the mentality of thugs asking for a share, like here customs is looking for defense through the buzzer but they don't want to see that it's all thugs on the field.",Neutral
"From the police, army, customs, and others live by corruption",Neutral
"As long as there is no unboxing video from customs, the inspection of the goods is under customs's responsibility, right?",Negative
Why did I get bad news today and then my Sony Angel had to be canceled because it was stuck by customs and my mid exam had to be postponed to tomorrow because I was pulled by the lecturer to take part in the event and now my Smiski box and foil were thrown away huftttttt,Negative
I checked the condition of the merchandise and it turned out it was stuck in the customs. customs if i catch you customs when i catch you customs,Neutral
Don't forget the regulations that caused a stir yesterday which were finally canceled by his ministry because the customs was bad so only the customs was the target of shooting.,Negative
customs people are the chosen people. How come the wrong input over and over again means the person chosen is an idiot,Negative
"customs has a big salary, but if his character is corrupt, he can't be satisfied because of the devil",Neutral
"Guys, don't be surprised if a girl's hobby is collecting handsome cards, prices start from thousands to tens of millions, but when you buy it you have to donate to customs, not to mention the red line.",Neutral
"How much does this album weigh? My Treasure Reboot album is the one with the tax, right? I used to take care of it myself in customs because it was for fansigns so there wasn't a tax price from GO",Negative
"It's like your leader doesn't live a luxurious life, just look at the director general of customs, his wealth is increasing by billions a year, that's only in the same class as the director general of customs, not the others, what island do you live on, don't you see that your wealth is being exploited to the tune of trillions, you're a cowardly slave.",Negative
"There's a lot of customs cases going on, but watching Smugglers customs isn't really an antagonist from the old days.",Negative
"Yes, in the past, someone was selling Jungkook's photocards for millions of rupiah, you know, when a lot of photocards were dismantled by customs and couriers",Neutral
"I was about to entrust someone to buy goods from abroad but I'm afraid of being taxed by customs and now it turns out Chako and Owala are all entering Indonesia now, who wants to put money into my account?",Neutral
"How come there are sellers like that, if they are caught by customs, as far as I know, there are two options, pay or return it to their country of origin, if they don't pay, instead of having the goods burned or stolen by customs's employees.",Neutral
Then as far as I remember one of the pillows was stuck in the customs lmao imagine the customs employee asked what kind of pillow that was?,Neutral
"Well, what made it viral yesterday was that the recipient had provided proof of the original transfer, the original invoice from the shop, but the customs closed his eyes and still blamed the recipient. Once it went viral, the recipient was invited to mediate the delivery service.",Neutral
"That's the one who replied to the mention earlier. It seems like there was a long reply calling Ajay but an hour ago the notification was delayed, it was stuck in customs, hahaha",Positive
"customs is getting worse, hopefully in the future it will be better, even though when you come home from abroad you usually feel safe and calm because you are at home because outside there you are extra nervous.",Neutral
"The problem seems to be that no one is selling the album here, plus I'm afraid that if I buy the album here, I'll be taxed by the customs when I come back.",Neutral
"Jen, you got scammed by that crazy Nana, it's been a year before the camera got stuck in the customs, what happened?",Neutral
"It's really bad to suddenly get a bill from customs hahaha, I'm not sure what the rate will be",Negative
"Yes, it should have arrived in March, but until now it hasn't arrived yet. I bought the photocard and it hasn't arrived yet. It's been a few days since the estimated delivery because it's still stuck in the customs",Negative
"If not, at least it will reach millions, but one of my merch items is still stuck in customs even though it arrived in Indonesia months ago.",Negative
"Indeed, learning from the drama involving Medy and Cakra Khan regarding 'customs' where one item costs millions but the tax is also a million, and the other costs a million but gets taxed a million as well, is that really more than its original price, right?",Negative
I just want to talk about the recent news. Your 'customs' officers are treating poor people like they're seeing money when they look at foreigners.,Negative
"It incurs warehouse fees for months, amounting to hundreds of millions. Why? Because customs (customs) did not provide good service, leaving the goods stranded in the warehouse",Neutral
"It's possible that it's like that. What confuses me is why a big logistics company like DHL would still want to suggest undervaluing invoices just to get more people to use their services, especially when they know that if caught by customs, they will face multiple sanctions. Haha.",Negative
"Their behavior is similar to Indonesian customs, marking up nonsensical rules, waiting to be criticized publicly, then apologizing and clarifying.",Positive
"By the way, there's something here that serves as a learning experience for customs so that they can improve in the future.",Neutral
"If customs holds my overseas package, what can I expect? It's filled with anime merchandise, damn, like a collection of stressed-out girls like me. Are they interested in that.",Negative
"Wow, so that's how it is, huh? That's pretty cool. Does that also include items other than this magical pillowcase? Customs has always been a bit weird, huh?",Negative
"May those who work in customs all end up in Hell, oh Allah, amen. May their lives be filled with suffering, and may none of their money be blessed. Every unlawful money that enters their stomachs, may it turn into coal in Hell, amen",Neutral
"Graduates of hospital-based specialist training programs are immediately appointed as civil servants (PNS). Haha, why are they happy to become civil servants whose salary is much lower than civil servants in other departments? Customs and the Ministry of Health are so eager to recruit, it's like they're becoming salespeople.",Negative
"The diversion of the customs issue was successful, that's why it was deleted. Remember, Ricis is still a supporter of Jokowi.",Neutral
"It depends, usually around a week estimate for delivery. Right now, it's waiting in the customs queue.",Neutral
The customs rumor doesn't apply to my package; it's in my hands and there's no damaged property. I didn't order this through a third-party proxy because I can access the official store.,Neutral
"It's logical, isn't it? If customs feels there are many black market buyers claiming purchases for personal use, where are these black market people buying items one by one? Black market operators use large suitcases and even suspect medium and cabin-sized ones. How could they possibly get away when those accused aren't even the ones?",Negative
"What if Figure Studio and Ichiban Kuji figures get hit with customs fees of over a million? Crazy, right?",Neutral
"So, is the customs handling that determines the import duty based on the invoice in the case where there's chocolate behind the Chanel already correct or not?",Neutral
"It sounds like there's a lot of buzz around this shop claiming it's ""handcarry,"" but it's been stuck in customs for a month. As far as I know, airport customs should be straightforward—declare, inspect, pay, done. If you ask questions and the answers aren't clear, that's not good. Even though it's all written out, read through it all. I'm still confused myself, hence why I'm asking.",Negative
"So, Indonesian tourists seem to be in a tough spot. When they depart, they're thought to be poor by immigration in the destination country. But when they return, they're thought to be rich by customs in their own country.",Neutral
"Haha, well, I guess there's nothing I can expect. I hope you stay happy even without me around. It seems like my package is still being inspected by customs. I wonder when it will be released.",Negative
"In unboxing, they were asked to sleep and show off first to customs for a long time, until the year passed.",Neutral
"Forget fighting with customs, it's better to just hold onto the money to go on a vacation with and buy that Vitri.",Negative
"Dodging questions like a bajaj, they asked about this case but instead provided screenshots of another case. The customs money is being disbursed, but in the end, they're just trying to make a living.",Negative
"Yesterday, it was already processed by customs, but the tracking hasn't shown any progress at all on the website.",Negative
"The argument with customs is real, OMG! I can't imagine what would happen if customs really tore into that huge box.",Positive
"The way it's being spread seems like an attempt to worsen the image of customs and the Ministry of Finance. Once again, it ends up being twisted and manipulated.",Negative
"I personally ship items directly from Korea to Indonesia every week and I don't dare to use EMS for tax, especially for heavy albums. I think these albums are just thrown from Korea so doesn't need going through customs anymore.",Negative
"Hahaha! Even if you win the World Cup, you'd have to wait two years to receive the trophy from customs. Hilarious!",Negative
"It's clear that you acted foolishly by attempting to smuggle bags and markup invoices. When caught by customs, playing the victim as if it's their fault is unreasonable. It's important to take responsibility rather than blaming others.",Negative
"Oh well, most likely it's customs telling the company to keep looking clean, as if they don't know how corrupt government bureaucracy can be.",Negative
"It's possible that when customs checked the album shipment, they were wondering what was inside and why it weighed so much.",Negative
"Import duties, value-added tax (PPN), and income tax (PPH) always seem to come up when we're buying souvenirs, right? Oh well, enough of that. Can you share job information at customs?",Negative
It turns out that one of the sources of Indonesia's economic slowdown is greedy customs officials.,Neutral
"This is the quality of Indonesia's human resources. Sometimes I also get annoyed with customs, but those comments are from Zulkifli Hasan. By the way, Zulkifli Hasan is not a customs official.",Negative
"The salary is decent, but with tax deductions like this, especially for officials, the backdoor deals are even more significant. A close friend of ours who works at customs said they make at least a million a day. Imagine someone in a higher position!",Negative
"Let me share a story: a relative of mine entered college, then got into customs and within a year was able to buy a house, a car, and other properties. Meanwhile, according to a friend who works at customs, they make at least a million a day. If you're not part of the customs circle, you're just considered an ordinary person.",Negative
"Yeah, it's frustrating because the rules are like crap. Humans are supposed to create laws, not laws to control humans. Customs closes their eyes and imposes fines on recipients, even if it's the sender's fault. The recipient can prove they're not at fault, yet they're still asked to pay fines.",Negative
"Even an award certificate is subject to tax, which seems unreasonable. There are indeed many corrupt customs officials, and their families live like super wealthy royal families.",Negative
"It sounds like you need to encourage your friend Bina who's heading to customs, because the fate of your PC is in their hands.",Negative
"In general, for EMS shipments, you can expect to pay taxes plus handling fees and other charges. The amount varies depending on how much customs decides to tax based on the size, weight, and value of the items in each box. Sometimes the tax amount can be raised arbitrarily, and there are cases where the charges don't make sense. It's all up to customs when it comes to taxes.",Positive
"Because they impose fines on the buyers according to the regulations—that's how the customs law works. If they don't follow the customs law, they are considered wrong. There's always something going on with customs.",Negative
"Why does customs behave like crap? It's already clear that the mistake was on the sender's side, so why does customs act like crap?",Neutral
"For those who want to buy the new Fuwa JJK merch, besides thinking about the gacha system to get it, also consider whether it will pass through customs smoothly or not.",Negative
"Is it time for me to let go of my package stuck in customs? Even though it might ease my mind a bit, I still feel a bit sad when I think about the bags, clothes, and shoes I bought with that money.",Negative
"Yeah, it's really shocking for those of us who receive bills from customs every day to see them charging such high EMS taxes.",Negative
It's possible that customs is being brought up again by social media influencers to highlight the positive aspects of their videos.,Negative
"Reading about the chaos with customs is really problematic, especially for items that get stuck. Oh wait, turns out my items are also stuck.",Negative
"Waiting for the subordinates at customs to make their deposits. If they don't make their payments to the boss, they might scratch your careers.",Neutral
"That's why not all buyers have the knowledge about customs. With the Korean Won rate increasing every day, it's misleading when they want to sell things.",Negative
"So, I'm confused about whether to share or not because I'm worried about the EMS tax later. Plus, customs can be really unpredictable.",Neutral
"An album weighing a kilogram with EMS costing that much? Come on, use your brain a bit. There's no way the EMS rate is that high. Are you sure it won't get taxed by customs? Besides, EMS from Korea doesn't include taxes yet, so as a buyer, please be smarter. Don't fall for cheap prices at first without any guarantee.",Negative
Customs can be really annoying indeed. They consider all bags as luxury goods even if they cost just a few thousand.,Neutral
I'm also hesitating to buy an itabag from overseas because I'm worried about customs. I heard there was an announcement that clothing and bags from China are taking longer to process at customs.,Negative
"Performance allowances for educators, healthcare workers, field ministry officials, and firefighters, especially those placed in remote and high-risk areas, should be adjusted accordingly with performance allowances for Ministry of Finance employees, including the Tax and Customs Directorate",Negative
"If there's already a mistake in the documents, don't expect it to be resolved quickly. It will surely be delayed, and you might not realize that you've incurred storage fees from customs and the shipping company while trying to retrieve the shipment. It's really frustrating.",Negative
"Well, the issue that netizens are concerned about is when we buy an item at a certain price, but then customs charges tax and fines because the declared value doesn't match their estimate. If that's the case, it does seem unfair, doesn't it?",Negative
"Let's track the money from these supposed tax fines that were overcharged. If someone pays it correctly, does it actually go into the country's treasury? If not, it means it's become a way for corrupt customs officials to easily make money.",Negative
Let's not generalize and call customs stupid just because they're pressured by their ministers. It turns out even the Minister of Agriculture is extorting money. This is outrageous.,Negative
"Haleh, Bima was offered money by customs to improve his image. Clearly, customs decided to hire this person because their image is already too tarnished.",Negative
I suspect it's true. I saw on Twitter that many people are angry because customs taxes are excessively high. There are even cases where people are given gifts but are still required to pay taxes.,Neutral
"Wow, you got hundreds of millions for bribing customs? There's no way you'd get a Chanel receipt like that, hahaha.",Neutral
"All the albums have been shipped by customs to your house, so you can go full force for the event or keep them.",Negative
"It's frustrating when many items go missing, and then when you ask for CCTV footage, customs says they can't provide it. It's ridiculous! How can they claim the items are still there when they were supposed to inspect them?",Negative
"For luxury bags, the tariff requested by customs based on the item's price is too high. The calculation involves import duties, customs value, VAT, income tax, and the total amount demanded by customs is more than half the price of the item.",Neutral
"Come here, my dear, relax. This item is affordable, so when you return to Indonesia, customs won't fleece you.",Negative
"If it comes to that, I would just let go of my items, whether they get thrown away or whatever happens. I won't spend money again on customs. It's better to use the money for my family instead.",Negative
The behavior of certain customs officials that has harmed both the people and the country is still being defended by the customs leadership with various excuses. It's very concerning for the fate of our nation because of the abundance of parasites within our government.,Negative
"Feeling withered because I haven't bought clothes to make me look less human, as Indonesian customs charges are insanely expensive.",Neutral
"Hello! If anyone is experiencing issues with customs, please DM me your stories for my article to be published on the website.",Negative
"Another day, another piece of bad news from Indonesian customs. Can't they just do their jobs properly? Of course they can't, most of them are incompetent.",Negative
"I really want to buy the ""Room Under the Stairs"" vinyl, but I don't even have a turntable. Plus, Indonesian customs has me thinking thousands of times about it.",Negative
"Based on our customs, it costs an arm and a leg, plus thousands per worker who comes in to handle it.",Negative
"It's true. I also want Albaik to open a branch in Indonesia, especially with the new customs tax regulations. I don't think I can enjoy their goodness from Umrah smuggles anymore, so they really should establish a legitimate branch here.",Negative
"Anyhow, their mallows always look so good. I want to try them, but I don't think they ship to Indonesia, and there's the issue with customs.",Negative
"Bro, Indonesian customs workers deserve to be verbally abused. They're just doing their job, but it's frustrating when we have to pay tens of millions for souvenirs that cost only hundreds of thousands. It can feel really unreasonable.",Negative
My account has really transformed from an architecture-hating account to a melancholic account to a customs-related buzzer account.,Negative
"It's true that the country can seem funny with corruption, customs issues, scandals like Hambalang, and many other problems.",Negative
"Someday, buddy, someday. Someday when I have the money to buy you and the money to pay the customs taxes.",Negative
"Netflix, aren't you interested in doing a documentary about customs? Every time I refresh the page, new issues keep popping up. What have they been up to?",Negative
"Genuine Hermes products are not cheap. My theory is that it's a knock-off, but the customs officials Google the price and hit them with a tax in the millions based on the original price. So, they trashed the knock-off because if you're rich enough to buy Hermes, you can pay that tax.",Negative
"Welcome, new followers! There's not much going on here besides me complaining about customs, unfortunately.",Negative
"Oh, they're mimicking the Indonesian government again, confiscating or essentially stealing people's things at customs.",Negative
"Can governments do something about customs? There's definitely something wrong with the way they operate and demand irrational amounts of money. It has become a national issue affecting countless people, and I'm pretty sure many are dissatisfied with their service.",Negative
"As if they would listen anyway. They're not brave enough to confront the government, my friend. Are you new here? Customs literally faced heavy criticism a couple of hours ago due to their regulations. You're talking about netizens being cowards, but they're definitely speaking out.",Negative
"The Corruption Eradication Commission (KPK) should really examine customs. The tax burden is significant, especially if you're only shopping from abroad where the prices are often cheaper than the taxes imposed.",Negative
"Twitter has been crazy lately, bro. What's going on? There's a purge with the corruption issue, customs messing up, and now this YouTube thing?",Negative
"Honestly, if you're selling them, I want to buy it. But then I remembered customs, the government department that collects taxes on goods coming into the country, and nowadays it's not really reliable.",Negative
"God, please take all the hardships and stress of Indonesian students, triple it, and give it to this evil instance of Indonesia's customs.",Negative
 it is halal to slandering customs workers cause after what you guys did it all you still have the guts to smile like that  ,Negative
"We were so busy and focused on the ugly discourse about corruption and customs that we might have forgotten that these kinds of manipulative people, like ""Gaga Sardines,"" still exist in society. What the heck?",Negative
"I failed with customs, and seeing what's been happening with customs recently makes me believe that God's plan is better for me.",Negative
 please be careful yukisan bringing so many items above indonesian customs customs may charge you a lot of money just in case  ,Negative
"These customs people have always acted so arrogantly and superior, as if they're the only ones working in a wet place. Finally, someone called them out on it.",Negative
"I spent my precious minutes watching this video, and some things related to customs haven't been answered yet.",Negative
feeling so sorry and gutted for that customs employees because they actually become the victim of that problematic customs arrogant and denial working culture and they also got sacrificing their whole life to defend that customs dumbass idiotic takes ,Negative
"I want to print my artworks of Mr. Serval one day and send them to Mr. Serval as a gift, if only customs weren't so difficult to deal with.",Negative
"Usually, customs taxes are calculated as a percentage of your product's price. However, lately customs has been under fire due to corrupt individuals running the system, resulting in unfair payments that you're forced to comply with or else they'll hold your product.",Negative
"Well, you see, customs sometimes holds the product and requires us to pay more than the original price.",Negative
"Looking at all these complaints about customs in recent days, the only thing that impresses me is the audacity of their tagline: ""Beacukai Makin Baik"" (Customs Getting Better).",Negative
"No joke, if customs keeps making these problematic decisions, eventually I might have to expose someone who works there. I know someone who does.",Negative
"customs is only allowed to withhold my parcel after they've submitted the logical form, surface form, formal semantic translation, and calculation of truth values of the regulation they use to do it according to the textbook in the parcel",Negative
you will never know when it will arrive at the destination. This will become jargon every time you deal with customs,Negative
"I would like to say kindly to the damn customs, you thief and increase the tax price. You're also wrong to check the tax price, damn it. i hope you fucking suffer for the rest of your life in the future due to any new canon event",Negative
for me prabowo could redeem himself if he goes milei and afuera all the shitty ass useless departments like customs etc,Negative
my friend is working at customs and i can tell you guys he is rich as hell and i am wondering how he earns the money,Negative
wait don't tell me when i bought tina statue the leg was broken when arrived at mine because customs did the brutal unboxing for checking,Negative
if i get a dollar everytime i read about shitty customs behaviour lol shitty is an understatement vicious it is i'll be retired by now,Negative
if you see me strutting around with a somewhat snappy attitude it means i've had a tough battle with customs my job forced me to deal with their ever changing regulations and bureaucracy at its worst  ,Negative
praying the worst for all the customs folks i hope they rot in hell and get the most painful afterlife punishment,Negative
"I hope you will be punished because the customs officer once dared to detain a disabled woman's urination device, where is your conscience",Negative
"all electricity prices have gone up, market fees have gone up, taxes have gone up, fuel has gone up, sugar has gone up, rice has gone up, tuition fees have gone up, all increases are the people's burden, the government should have a solution so that the people are prosperous & don't raise taxes, eradicate corruption at all levels, especially customs and tax services",Negative
customs only followed the minister's regulations after the viral then the regulations were revoked,Negative
It would be better if customs were disbanded and handled directly by the finance department and all payments made via online,Negative
This YouTuber gave a challenge whether they dared or not to apply it first to all employees of the Ministry of Finance including DJP and customs before applying it to the public,Negative
"These customs duties are already a lot of money and still want to eat up people's money, their policy should be revised at will.",Negative
"Just because he has money, he wants to bribe officers for liquor in front of his own eyes, foreign Arab citizens gawk at their luggage being thrown away by customs officers.",Negative
"Yesterday in the midterm exam, the grid was clearly there, but suddenly what came out about the customs surprised me a bit.",Negative
"If I were president,  the people of customs and DPR would definitely disappear from Indonesia because that's where corruption started to grow and develop and become vicious in the country.",Neutral
"The stolen goods were actually destroyed or taken by the customs officers, seriously asking",Negative
"This is good, those who like to make people stupid will continue to be forgiven, those who like corruption will also continue to be forgiven, those who like to extort people's money through customs will also be forgiven, right? ",Negative
"Just add to the work of netizen employees, wow, netizen employees are busy dealing with customs cases, right?",Negative
"In fact, there are institutions that implement a semi-militaristic system of customs, there are those who carry weapons, rude immigration officers, there are also wardens and members of the Ministry of Law who carry weapons and wear ranks, so that's why it's like that.",Negative
"Please sir, don't just keep silent, take firm action, please also check the wealth of customs employees. Rumors in the community about customs have spread throughout all levels of society. This can trigger simultaneous emotions in the community.",Negative
"They are very loud when they talk about their traditional religion, anti-foreigners, anti-all kinds, but when it comes to asking for distribution, they can be greedier than customs people and more vicious than thugs.",Negative
"I love Wonwoo recklessly. Finally, after picking up the keyboard in Gangnam, the bag just got stuck at customs",Negative
"customs performance can be used as an evaluation material for the government, especially the Minister of Finance and the Minister of Trade, because it is often offside and is only handled after it goes viral on social media. Members of Commission III of the Indonesian House of Representatives, Supriansa Partaigolkar Golkarindonesia Golkarpedia.",Negative
"I continue to monitor my neighbors, the customs officer, I and other neighbors continue to monitor cctv, which must be installed near the customs officer",Negative
"I remember my Japanese streetball friends, I wanted to buy a tachikara ball, I went to the Tachikara website, I was thinking about the case about customs that went viral yesterday, the ending was canceled, while entertaining myself, there was no freestyle ball with a good design, even though this was also fun, even though it was a ball for playing",Neutral
"Hey guys, I want to ask about the recent customs case that was trending. Who got affected and how? Yesterday I asked my friend, and they said those affected are the ones who handle customs matters themselves. I didn't quite understand what they meant by handling it themselves at the customs office. Can anyone clarify?",Negative
"I think I need to stop checking Twitter for now. It's exhausting to see the timeline filled with issues about tickets, customs, and government matters. Both are making me tired.",Negative
"This guy (referring to Zulkifli Hasan) is the one who made the Ministry of Trade regulations that went viral. He's so relaxed talking about it, while the public and customs are struggling and clashing in the field. Customs is trying to enforce the regulations, but it seems like they're being made the scapegoat",Negative
"For a personal shopper (jastip) business, if you look closely, the items brought in are worth more than USD. How can they pass through customs? Can anyone from customs explain this? Surely they've seen the website",Negative
"This is what Mr. Zulkifli Hasan discussed—the regulations from his own Ministry of Trade. They are the ones who create the rules, so don't blame customs, which only assists in implementing and supervising these regulations.",Positive
"This is about Zulkifli Hasan, the father of the Minister of Trade (Zulhas), who issued a regulation (Permendag) that was synchronized with customs. However, customs ended up bearing the impact and becoming viral due to misunderstandings and baseless attacks from netizens, even though customs is only following standard operating procedures (SOP) based on the regulations.",Negative
"Why is it that when buying packages in Indonesia, if they're not held at the Cakung Distribution Center (DC), they get held up at customs? It seems like most problems revolve around these two problematic places.",Neutral
"Hi Gibran, sorry for going off topic. What is the current trend with customs? I sell secondhand thrift clothes from abroad, and I'm wondering if gifts are taxable. Thanks, Gibran.",Negative
"How much is the account paid, then, to become a defender like that? People are already familiar with this niuniuni customs.",Negative
"I want to date a customs officer so I can be supported financially, but I don't want the money to be unlawful.",Positive
